(1, Abate de animais, 400094
(2, Abertura de fechaduras de segurança, 450033
(3, Abrasão, 400001
(4, Abrigo de barcos, 390071
(5, Acabamentos para papel [tratamento], 400006
(6, Academias [educação], 410002
(7, Acetinagem de peles [peleteria], 400071
(8, Acolchoamento, 400092
(9, Acompanhamento de viajantes, 390002
(10, Acondicionamento de peles [peleteria], 400020
(11, Aconselhamento em questões de saúde, 440212
(12, Aconselhamento médico para indivíduos com deficiências, 440215
(13, Administração comercial do licenciamento de produtos e serviços de terceiros, 350096
(14, Administração de imóveis, 360032
(15, Administração de negócios de programas de reembolso para terceiros, 350124
(16, Administração de negócios na área esportiva, 350105
(17, Administração de programas de fidelidade de consumidores, 350131
(18, Administração de programas de viajantes frequentes, 350128
(19, Administração financeira, 360030
(20, Administração legal de licenças, 450223
(21, Administração predial, 360033
(22, Afiação de faca, 370106
(23, Afinação de instrumentos musicais, 370139
(24, Afretamento, 390039
(25, Agenciamento de artistas, 350079
(26, Agências de modelos para publicidade ou promoção de vendas, 350049
(27, Agências de notícias, 410103
(28, Alfaiataria, 400053
(29, Aluguel de acomodações temporárias, 430028
(30, Aluguel de aeronaves, 390102
(31, Aluguel de alarmes de incêndio, 450203
(32, Aluguel de aparelhos de ar condicionado, 400118
(33, Aluguel de aparelhos de cozimento, 430190
(34, Aluguel de aparelhos de fac-símile [fax], 380031
(35, Aluguel de aparelhos de rádio e televisão, 410025
(36, Aluguel de aparelhos de telefones, 380034
(37, Aluguel de aparelhos de transmissão de mensagens, 380029
(38, Aluguel de aparelhos para aquecimento de ambientes, 400119
(39, Aluguel de aparelhos para ar condicionado, 400118
(40, Aluguel de apartamentos, 360035
(41, Aluguel de aquecedores, 400123
(42, Aluguel de armazéns, 390035
(43, Aluguel de barcos, 390012
(44, Aluguel de barracas [tendas], 430189
(45, Aluguel de bombas de drenagem, 370134
(46, Aluguel de brinquedos, 410197
(47, Aluguel de buldôzeres, 370013
(48, Aluguel de cadeiras de rodas, 390092
(49, Aluguel de cadeiras, mesas, toalhas de mesa e artigos de vidro, 430186
(50, Aluguel de câmeras de vídeo, 410088
(51, Aluguel de cartazes/outdoors publicitários, 350125
(52, Aluguel de cavalos, 390019
(53, Aluguel de cenários para palco, 410032
(54, Aluguel de cenários para shows, 410013
(55, Aluguel de cofres, 450215
(56, Aluguel de computadores, 420083
(57, Aluguel de construções transportáveis *, 430160
(58, Aluguel de contêineres de armazenagem, 390080
(59, Aluguel de dispensadores de água potável, 430191
(60, Aluguel de equipamento de áudio, 410085
(61, Aluguel de equipamento de construção, 370020
(62, Aluguel de equipamento de jogos, 410198
(63, Aluguel de equipamento para mergulho, 410065
(64, Aluguel de equipamentos agrícolas, 440084
(65, Aluguel de equipamentos de iluminação*, 430192
(66, Aluguel de equipamentos de limpeza, 370090
(67, Aluguel de equipamentos de telecomunicação, 380033
(68, Aluguel de equipamentos desportivos [exceto veículos], 410066
(69, Aluguel de equipamentos para gravação de som, 410018
(70, Aluguel de equipamentos para iluminação de teatro ou estúdios de televisão, 410086
(71, Aluguel de escavadeiras, 370044
(72, Aluguel de escritórios [imóveis], 360069
(73, Aluguel de espaço publicitário, 350070
(74, Aluguel de estádios, 410067
(75, Aluguel de estande de vendas, 350109
(76, Aluguel de extintores de incêndio, 450204
(77, Aluguel de filmes cinematográficos, 410019
(78, Aluguel de fitas de vídeo, 410069
(79, Aluguel de freezers, 390099
(80, Aluguel de garagem, 390040
(81, Aluguel de geradores, 400104
(82, Aluguel de guindaste, 370120
(83, Aluguel de instalações sanitárias, 440188
(84, Aluguel de máquinas de lavar roupas, 370135
(85, Aluguel de máquinas de tricotar, 400112
(86, Aluguel de máquinas de venda automática, 350089
(87, Aluguel de máquinas e equipamentos de escritório *, 350013
(88, Aluguel de máquinas fotocopiadoras, 350083
(89, Aluguel de máquinas para varrer ruas, 370121
(90, Aluguel de material publicitário, 350035
(91, Aluguel de modems, 380032
(92, Aluguel de motores de aeronaves, 390105
(93, Aluguel de ônibus especiais, 390104
(94, Aluguel de porta-bagagem de teto, 390081
(95, Aluguel de quadras de tênis, 410087
(96, Aluguel de refrigeradores, 390043
(97, Aluguel de roupas, 450081
(98, Aluguel de roupas de mergulho, 390079
(99, Aluguel de salas de reunião, 430187
(100, Aluguel de sinos de imersão, 390078
(101, Aluguel de sistemas de navegação, 390107
(102, Aluguel de software de computador, 420159
(103, Aluguel de tempo de acesso à rede global de computadores, 380041
(104, Aluguel de tempo de publicidade em meios de comunicação, 350087
(105, Aluguel de trajes a rigor, 450046
(106, Aluguel de tratores, 390110
(107, Aluguel de trens, 390045
(108, Aluguel de vaga de garagem, 390042
(109, Aluguel de veículos, 390044
(110, Aluguel de videocassetes, 410068
(111, Análise da água, 420216
(112, Análise da escrita [grafologia], 420211
(113, Análise de custo, 350007
(114, Análise de sistemas [informática], 420177
(115, Análise financeira, 360046
(116, Análise para exploração de campos petrolíferos, 420008
(117, Análises químicas, 420007
(118, Aplainar [serraria], 400050
(119, Aplicação de aviamentos em têxteis, 400005
(120, Apresentação de espetáculos ao vivo, 410056
(121, Apresentação de espetáculos circenses, 410009
(122, Apresentação de espetáculos de variedades, 410027
(123, Apresentação de produtos em meios de comunicação para fins de comércio varejista, 350092
(124, Armazenagem, 390034
(125, Armazenagem de mercadorias, 390028
(126, Armazenagem física de dados ou documentos armazenados eletronicamente, 390094
(127, Armazenamento de informações, 390076
(128, Armazenamento eletrônico de dados, 420226
(129, Aromaterapia, 440193
(130, Asfaltamento, 370005
(131, Asilos para idosos, 430013
(132, Aspersão, aérea ou de superfície, de fertilizantes e outras substâncias químicas agrícolas, 440115
(133, Assentamento de tijolos, 370101
(134, Assessoria em gestão comercial ou industrial, 350025
(135, Assessoria em gestão de negócios, 350001
(136, Assessoria em gestão industrial ou comercial, 350025
(137, Assistência médica, 440087
(138, Assistência veterinária, 440111
(139, Atualização de material publicitário, 350027
(140, Atualização de software de computador, 420140
(141, Atualização e manutenção de dados em bancos de dados de computadores, 350117
(142, Auditoria de energia, 420218
(143, Auditoria em negócios, 350017
(144, Aulas de ginástica, 410021
(145, Aulas particulares, 410202
(146, Autenticação de obras de arte, 420132
(147, Avaliação da qualidade da lã, 420214
(148, Avaliação de antigüidades, 360051
(149, Avaliação de arte, 360052
(150, Avaliação de joias, 360061
(151, Avaliação de madeira em pé [para construção], 350010
(152, Avaliação de qualidade d madeira em pé, 420213
(153, Avaliação de qualidade de madeira em pé, 420213
(154, Avaliação filatélica, 360064
(155, Avaliação financeira [seguros, bancos, imóveis], 360026
(156, Avaliação financeira de lã, 360107
(157, Avaliação financeira de madeira em pé, 360105
(158, Avaliação imobiliária, 360014
(159, Avaliação numismática, 360062
(160, Avaliações de negócios, 350032
(161, Backup de dados off site, 420225
(162, Balanceamento de pneus, 370138
(163, BBS [serviços de telecomunicação], 380036
(164, Borrifação de nuvens, 420202
(165, Branqueamento de tecidos, 400008
(166, Brasagem, 400011
(167, Calandragem de tecidos, 400014
(168, Calibragem [medição], 420136
(169, Câmara de Compensação [bancário], 360021
(170, Captação de financiamento para projetos de construção, 360112
(171, Captação de fundos para caridade, 360015
(172, Captação de patrocínio, 350102
(173, Carregamento de bagagens, 390021
(174, Carregamento de baterias de veículos, 370137
(175, Casas de retiro, 430013
(176, Casas para turistas [alojamento], 430071
(177, Cirurgia de árvores, 440166
(178, Cirurgia plástica, 440156
(179, Coleta de bens recicláveis [transporte], 390111
(180, Colocação de papel de parede, 370064
(181, Colônia de férias, 410055
(182, Colônia de férias [alojamento], 430145
(183, Coloração de vidros de janelas por meio de revestimento da superfície, 400065
(184, Combate ao fogo, 450179
(185, Comerciais de rádio, 350040
(186, Comerciais de televisão, 350044
(187, Comércio, no atacado ou varejo, de preparações sanitárias, farmacêuticas ou veterinárias e suprimentos médicos, 350108
(188, Comparação de Preços, 350091
(189, Compensação [bancário], 360021
(190, Compilação de informação em bancos de dados de computador, 350080
(191, Compilação de informação para bancos de dados de computador, 350080
(192, Compilações de estatísticas, 350100
(193, Composição de canções, 410204
